домен	база	ua_шлях	стать_типово	стан	канал	хвилин	нотатка
# колонки: домен · база · UA-шлях · стать_типово · стан · КАНАЛ · ХВИЛИН · нотатка
# КАНАЛ — стратегія, виведена з шести прогонів 05–06.09: woo / shopify / yml (bulk-канал, 25–50 речей/хв,
#   розвідка не потрібна) · «списки» (речі беруться зі сторінок-розділів, мапа не читається) · порожньо =
#   жниварка шукає сама. ХВИЛИН — бюджет саме цього магазину; продуктивні продовжують себе самі.
# ── 46 магазинів каталогу 27.08 ──
25union.com.ua	https://25union.com.ua		невідомо	увімкнено	списки	10	мало речей у попередніх прогонах; OpenCart; бренд, є унісекс/чоловіче
wearme.ua	https://wearme.ua		жіноче	увімкнено	shopify	30	Shopify
favoriteshoes.com.ua	https://favoriteshoes.com.ua		невідомо	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; дуже повільний сервер (111 с/запит); взуття, є чоловіче
dolcedonna.com.ua	https://dolcedonna.com.ua		жіноче	увімкнено	списки	20	OpenCart
gepur.com	https://gepur.com	/uk	жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; дуже повільний сервер (111 с/запит); headless; фото сусіднього товару в лістингу — бра
md-fashion.ua	https://md-fashion.ua		невідомо	вимкнено		0	заблоковано з дата-центру; потрібен домашній IP; мультибренд, є чоловіче; mainLoader.svg і чужі кольорові варіанти (П2)
welfare.ua	https://welfare.ua		невідомо	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; взуття/ремені, є чоловіче
cher17.com	https://cher17.com		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах
vittorossi.ua	https://vittorossi.ua	/ua	невідомо	увімкнено	списки	10	мало речей у попередніх прогонах; дуже повільний сервер (131 с/запит); Bitrix; взуття, є чоловіче; v2 давав 0 прийнятих 
diadia.ua	https://diadia.ua		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; OpenCart; стікери sold-out у фото (П2)
vovk.com	https://vovk.com	/ua	жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; OpenCart; cart.svg замість фото (П2)
musthave.ua	https://musthave.ua	/ua	жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками
rito.ua	https://rito.ua		жіноче	увімкнено	списки	30	OpenCart
vsisvoi.ua	https://vsisvoi.ua		невідомо	увімкнено	списки	10	мало речей у попередніх прогонах; маркетплейс укр. брендів, є чоловічий розділ; колір зі слага надійніший за назву
brenda.ua	https://brenda.ua		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; OpenCart
solmar.com.ua	https://solmar.com.ua	/ua	жіноче	вимкнено		0	віддає російські назви навіть на /ua — П9; Bitrix
k.ua	https://k.ua		невідомо	увімкнено	списки	10	мало речей у попередніх прогонах; Woo; мультибренд, є чоловіче
onebyone.ua	https://onebyone.ua		невідомо	увімкнено	списки	30	OpenCart
sarahberlin.com	https://sarahberlin.com	/uk	жіноче	вимкнено		0	віддає російські назви навіть на /ua — П9
stolyarchuk.com.ua	https://stolyarchuk.com.ua		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; OpenCart; колір у назві
maxa.ua	https://maxa.ua		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; Woo; HTTP 422 на wp-json і пагінації 27.08 (П16) — перевірити мапою
miraton.ua	https://www.miraton.ua	/ua	невідомо	увімкнено	списки	10	мало речей у попередніх прогонах; Bitrix; є чоловіче
cultboutique.com.ua	https://cultboutique.com.ua	/ua	невідомо	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; дуже повільний сервер (153 с/запит); аксесуари, є чоловіче
likeangel.com.ua	https://likeangel.com.ua		жіноче	увімкнено	woo	45	Woo
twice.com.ua	https://twice.com.ua		жіноче	увімкнено	списки	20	PrestaShop
feelyou.com.ua	https://feelyou.com.ua		жіноче	увімкнено	woo	30	Woo
honchstudio.com	https://honchstudio.com		невідомо	увімкнено	shopify	30	Shopify; головні убори, унісекс
tm-beart.com	https://www.tm-beart.com		жіноче	увімкнено	woo	30	Woo; lazy.svg замість фото (П2)
jecomestudio.com	https://jecomestudio.com		невідомо	увімкнено	shopify	30	Shopify; взуття
vilni.store	https://vilni.store		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп; розділи домальовуються JS — лише мапа (П11)
bella-bicchi.com	https://bella-bicchi.com		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; Bitrix; верхній шар
morandi.ua	https://morandi.ua		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах; Woo
pitaya.ua	https://pitaya.ua		невідомо	увімкнено	списки	20	Shopify; пляжне, є чоловіче
sunwin-store.com	https://www.sunwin-store.com		невідомо	увімкнено	woo	45	пояси
alot.com.ua	https://alot.com.ua		жіноче	увімкнено	списки	10	мало речей у попередніх прогонах
emmeliedelage.com	https://emmeliedelage.com		жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп
fromus.ua	https://fromus.ua	/ua	жіноче	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; Хорошоп/Shopify
intimo.com.ua	https://www.intimo.com.ua	/ua	невідомо	увімкнено	списки	6	0 речей у 2 повних прогонах — остання спроба зі списками; дуже повільний сервер (115 с/запит)
natalibolgar.com	https://natalibolgar.com	/ua	жіноче	вимкнено		0	віддає російські назви навіть на /ua — П9; Bitrix; «lang=uk бреше» (v2); 25 записів і 1 ціна у v2 — перевірити карткою
attico.ua	https://attico.ua		невідомо	увімкнено	woo	45	Woo; сумки
